case_id,item,hs_code,regulated,middle,importer,start_month,esr_lag0,esr_lag1,esr_lag2,esr_lag3,esr_min,esr_best_lag,esr_risk,mid_export_sum,imp_export_sum,sr_min,sr_best_lag,sr_risk,same_best_lag,lag_gap
44,이음매없는동관,7411,중국,독일,대한민국,2023.03,-0.3142857142857143,0.2571428571428572,-0.4857142857142857,0.6571428571428573,-0.4857142857142857,2,0.4857142857142857,1024612.605,3556339.056,-0.8857142857142858,3,0.8857142857142858,False,1
48,도공(coated) 인쇄용지,4810,일본,뉴질랜드,대한민국,2024.03,0.2571428571428572,-0.3142857142857143,0.2571428571428572,0.0857142857142857,-0.3142857142857143,1,0.3142857142857143,1203413.0,8403972.0,-0.8857142857142858,0,0.8857142857142858,False,1
37,스테인리스스틸바,7222,인도,슬로베니아,대한민국,2021.01,-0.0857142857142857,-0.2571428571428572,0.2571428571428572,0.6,-0.2571428571428572,1,0.2571428571428572,1500694.0,7840583.0,-0.8857142857142858,0,0.8857142857142858,False,1
2,크라프트지(1차재심),4804,중국,러시아 연방,대한민국,2012.04,0.7589709258986453,-0.0303588370359458,-0.0676123403782813,0.3718678720805473,-0.0676123403782813,2,0.0676123403782813,29922.0,4055407.0,-0.8857142857142858,0,0.8857142857142858,False,2
24,옵셋인쇄판,370130,중국,일본,대한민국,2017.09,0.942857142857143,0.8857142857142858,0.8857142857142858,0.8285714285714287,0.8285714285714287,3,0.0,1007532.601,6530423.282,-0.8857142857142858,3,0.8857142857142858,True,0
37,스테인리스스틸바,7222,인도,독일,대한민국,2021.01,0.0857142857142857,0.3142857142857143,0.0285714285714285,0.4285714285714286,0.0285714285714285,2,0.0,29208101.0,7840583.0,-0.8857142857142858,1,0.8857142857142858,False,1
48,도공(coated) 인쇄용지,4810,일본,태국,대한민국,2024.03,-0.0285714285714285,0.3142857142857143,-0.5428571428571429,0.4857142857142857,-0.5428571428571429,2,0.5428571428571429,50536070.0,8403972.0,-0.8827348295047495,3,0.8827348295047495,False,1
44,이음매없는동관,7411,베트남,체코공화국,대한민국,2023.03,0.3478626213914691,-0.5217939320872036,0.3768511731740915,0.5217939320872036,-0.5217939320872036,1,0.5217939320872036,155901.73200000002,7507397.726,-0.8696565534786727,3,0.8696565534786727,False,2
36,합판,4412,베트남,필리핀,대한민국,2020.11,0.0857142857142857,-0.2,-0.4285714285714286,0.5428571428571429,-0.4285714285714286,2,0.4285714285714286,6196501.308,108365445.341,-0.8696565534786727,1,0.8696565534786727,False,1
32,PET필름(3차재심),392062,인도,아랍에미리트 연합,대한민국,2019.09,0.3714285714285715,0.1428571428571428,0.3714285714285715,-0.942857142857143,-0.942857142857143,3,0.942857142857143,5352992.0,460663.0,-0.8451542547285166,1,0.8451542547285166,False,2
1,PET필름(1차재심),392062,인도,스위스,대한민국,2012.05,0.1309307341415954,0.3927922024247863,-0.6546536707079772,-0.8451542547285166,-0.8451542547285166,3,0.8451542547285166,32060.0,483508.0,-0.8451542547285166,3,0.8451542547285166,True,0
1,PET필름(1차재심),392062,인도,벨기에,대한민국,2012.05,0.7142857142857143,-0.1428571428571428,-0.8285714285714287,-0.4857142857142857,-0.8285714285714287,2,0.8285714285714287,420931.0,483508.0,-0.8451542547285166,3,0.8451542547285166,False,1
36,합판,4412,베트남,라오스,대한민국,2020.11,-0.0285714285714285,-0.7714285714285715,0.7142857142857143,-0.2571428571428572,-0.7714285714285715,1,0.7714285714285715,664407.1749999999,108365445.341,-0.8451542547285166,3,0.8451542547285166,False,2
48,도공(coated) 인쇄용지,4810,중국,스페인,대한민국,2024.03,-0.4857142857142857,0.2,-0.7142857142857143,0.3714285714285715,-0.7142857142857143,2,0.7142857142857143,23105084.0,45125380.0,-0.8451542547285166,1,0.8451542547285166,False,1
48,도공(coated) 인쇄용지,4810,중국,캐나다,대한민국,2024.03,-0.6571428571428573,0.1428571428571428,-0.3714285714285715,0.5428571428571429,-0.6571428571428573,0,0.6571428571428573,38844351.0,45125380.0,-0.8451542547285166,2,0.8451542547285166,False,2
29,초산에틸(3차재심),291531,중국,남아프리카공화국,대한민국,2019.07,-0.1328422328310143,0.6642111641550715,-0.5313689313240573,,-0.5313689313240573,2,0.5313689313240573,16000.0,12021200.0,-0.8451542547285166,3,0.8451542547285166,False,1
39,PET필름,392062,태국,튀르키예,대한민국,2021.12,-0.4857142857142857,0.2571428571428572,0.8285714285714287,-0.3768511731740915,-0.4857142857142857,0,0.4857142857142857,660620.0,93560280.0,-0.8451542547285166,1,0.8451542547285166,False,1
48,도공(coated) 인쇄용지,4810,중국,벨기에,대한민국,2024.03,0.8857142857142858,-0.1428571428571428,-0.1428571428571428,-0.4638168285219587,-0.4638168285219587,3,0.4638168285219587,1257853.0,45125380.0,-0.8451542547285166,0,0.8451542547285166,False,3
1,PET필름(1차재심),392062,중국,벨기에,대한민국,2012.05,0.2571428571428572,0.0,-0.3339472073954039,-0.3718678720805473,-0.3718678720805473,3,0.3718678720805473,1846787.0,2026019.0,-0.8451542547285166,3,0.8451542547285166,True,0
1,PET필름(1차재심),392062,중국,스위스,대한민국,2012.05,0.8857142857142858,0.2319084142609793,-0.2125118592516207,-0.3718678720805473,-0.3718678720805473,3,0.3718678720805473,32904.0,2026019.0,-0.8451542547285166,3,0.8451542547285166,True,0
6,스테인레스스틸바(2차재심),7222,일본,필리핀,대한민국,2013.11,-0.2,-0.2,0.6,0.2,-0.2,0,0.2,1470725.0,3150301.0,-0.8451542547285166,3,0.8451542547285166,False,3
37,스테인리스스틸바,7222,인도,아일랜드,대한민국,2021.01,0.5428571428571429,-0.0857142857142857,-0.0857142857142857,0.7714285714285715,-0.0857142857142857,1,0.0857142857142857,406291.0,7840583.0,-0.8451542547285166,3,0.8451542547285166,False,2
2,크라프트지(1차재심),4804,중국,브라질,대한민국,2012.04,0.0579771035652448,0.0289885517826224,0.1739313106957345,0.0910765111078374,0.0289885517826224,1,0.0,2013731.0,4055407.0,-0.8451542547285166,3,0.8451542547285166,False,2
33,스테인리스 스틸바,7222,일본,프랑스,대한민국,2020.05,-0.1309307341415954,,,,-0.1309307341415954,0,0.1309307341415954,1250.0,2120789.0,-0.8406680016960503,3,0.8406680016960503,False,3
20,침엽수 합판,441232,중국,독일,대한민국,2016.03,0.7714285714285715,0.1428571428571428,0.4285714285714286,-0.0285714285714285,-0.0285714285714285,3,0.0285714285714285,30121031.909,56513583.606,-0.8406680016960503,3,0.8406680016960503,True,0
48,도공(coated) 인쇄용지,4810,일본,네덜란드,대한민국,2024.03,0.6571428571428573,-0.0857142857142857,-0.4285714285714286,0.5428571428571429,-0.4285714285714286,2,0.4285714285714286,42773.0,8403972.0,-0.8332380897952965,0,0.8332380897952965,False,2
26,PET필름,392062,태국,일본,대한민국,2018.04,0.8285714285714287,0.0285714285714285,-0.4857142857142857,-0.942857142857143,-0.942857142857143,3,0.942857142857143,7218452.0,26677626.0,-0.8285714285714287,0,0.8285714285714287,False,3
32,PET필름(3차재심),392062,중국,일본,대한민국,2019.09,0.6571428571428573,-0.8857142857142858,0.5428571428571429,-0.0857142857142857,-0.8857142857142858,1,0.8857142857142858,21748200.0,10408130.0,-0.8285714285714287,1,0.8285714285714287,True,0
22,합판(2차재심),4412,말레이시아,일본,대한민국,2017.05,0.6,0.4857142857142857,-0.8285714285714287,-0.6,-0.8285714285714287,2,0.8285714285714287,457683861.586,66349011.328,-0.8285714285714287,1,0.8285714285714287,False,1
41,"인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판, 더블레이어 제품)",370130,중국,홍콩,대한민국,2022.11,-0.4857142857142857,-0.7714285714285715,0.6,0.7714285714285715,-0.7714285714285715,1,0.7714285714285715,957205.12,11492515.946,-0.8285714285714287,2,0.8285714285714287,False,1
2,크라프트지(1차재심),4804,캐나다,핀란드,대한민국,2012.04,,,-0.1309307341415954,-0.6546536707079772,-0.6546536707079772,3,0.6546536707079772,4000.0,879000.0,-0.8285714285714287,3,0.8285714285714287,True,0
9,OPP필름,392020,태국,프랑스,대한민국,2013.12,-0.3927922024247863,-0.6546536707079772,-0.1309307341415954,,-0.6546536707079772,1,0.6546536707079772,940.0,962039.0,-0.8285714285714287,1,0.8285714285714287,True,0
40,플로트판유리,7005,중국,인도네시아,대한민국,2022.04,-0.4857142857142857,0.2571428571428572,-0.3714285714285715,-0.6,-0.6,3,0.6,1905965.0,56242173.0,-0.8285714285714287,3,0.8285714285714287,True,0
6,스테인레스스틸바(2차재심),7222,일본,이탈리아,대한민국,2013.11,-0.50709255283711,0.7775419143502353,0.2125118592516207,0.6375355777548621,-0.50709255283711,0,0.50709255283711,778.0,3150301.0,-0.8285714285714287,1,0.8285714285714287,False,1
9,OPP필름,392020,인도네시아,일본,대한민국,2013.12,-0.0857142857142857,0.0857142857142857,-0.4285714285714286,0.0285714285714285,-0.4285714285714286,2,0.4285714285714286,3327813.0,1748528.0,-0.8285714285714287,2,0.8285714285714287,True,0
44,이음매없는동관,7411,중국,미국,대한민국,2023.03,0.1428571428571428,-0.3142857142857143,0.6,0.7142857142857143,-0.3142857142857143,1,0.3142857142857143,7680800.0,3556339.056,-0.8285714285714287,1,0.8285714285714287,True,0
6,스테인레스스틸바(2차재심),7222,인도,오스트리아,대한민국,2013.11,-0.1428571428571428,-0.0285714285714285,0.0289885517826224,-0.2319084142609793,-0.2319084142609793,3,0.2319084142609793,146000.0,5942630.0,-0.8285714285714287,3,0.8285714285714287,True,0
2,크라프트지(1차재심),4804,중국,태국,대한민국,2012.04,0.3714285714285715,-0.0857142857142857,0.2898855178262242,0.0910765111078374,-0.0857142857142857,1,0.0857142857142857,2046495.0,4055407.0,-0.8285714285714287,0,0.8285714285714287,False,1
36,합판,4412,베트남,중국,대한민국,2020.11,-0.0857142857142857,0.5428571428571429,0.0285714285714285,0.3142857142857143,-0.0857142857142857,0,0.0857142857142857,271772.124,108365445.341,-0.8285714285714287,2,0.8285714285714287,False,2
53,PET수지,390761,중국,이스라엘,대한민국,2024.11,0.92,0.7745966692414834,,,0.7745966692414834,1,0.0,10829400.0,37619400.0,-0.8285714285714287,3,0.8285714285714287,False,2
35,합판,4412,중국,필리핀,대한민국,2020.11,0.7142857142857143,-0.1428571428571428,-0.8285714285714287,-0.2571428571428572,-0.8285714285714287,2,0.8285714285714287,418179679.0,55373678.0,-0.8116794499134279,2,0.8116794499134279,True,0
50,합판,4412,중국,이탈리아,대한민국,2024.07,0.0285714285714285,-0.5217939320872036,-0.2732295333235123,-0.4394802124588286,-0.5217939320872036,1,0.5217939320872036,29862115.0,43458274.0,-0.8116794499134279,1,0.8116794499134279,True,0
32,PET필름(3차재심),392062,중국,이탈리아,대한민국,2019.09,0.5428571428571429,-0.3714285714285715,-0.4285714285714286,0.0285714285714285,-0.4285714285714286,2,0.4285714285714286,4394365.0,10408130.0,-0.8116794499134279,1,0.8116794499134279,False,1
13,공기압 전송용 밸브,848120,일본,싱가포르,대한민국,2015.08,0.1428571428571428,0.4285714285714286,0.0857142857142857,0.2571428571428572,0.0857142857142857,2,0.0,84577.0,876860.0,-0.8116794499134279,3,0.8116794499134279,False,1
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,홍콩,대한민국,2013.12,-0.7944613465542746,-0.2125118592516207,0.5161002296110789,-0.0910765111078374,-0.7944613465542746,0,0.7944613465542746,41691.0,37201925.41,-0.7826908981308054,2,0.7826908981308054,False,2
28,플로트판유리(3차재심),7005,중국,인도,대한민국,2018.08,0.823529411764706,-0.2794117647058823,-0.9705882352941178,-0.2029198624783569,-0.9705882352941178,2,0.9705882352941178,29094107.0,57187791.0,-0.7775419143502353,2,0.7775419143502353,True,0
32,PET필름(3차재심),392062,인도,폴란드,대한민국,2019.09,0.8285714285714287,0.0857142857142857,-0.942857142857143,0.3142857142857143,-0.942857142857143,2,0.942857142857143,2688859.0,460663.0,-0.7775419143502353,1,0.7775419143502353,False,1
26,PET필름,392062,태국,스페인,대한민국,2018.04,-0.2571428571428572,-0.4638168285219587,-0.6375355777548621,-0.8804062740424288,-0.8804062740424288,3,0.8804062740424288,248874.0,26677626.0,-0.7775419143502353,3,0.7775419143502353,True,0
29,초산에틸(3차재심),291531,중국,스페인,대한민국,2019.07,-0.2319084142609793,0.4638168285219587,-0.8406680016960504,0.4058397249567139,-0.8406680016960504,2,0.8406680016960504,958466.0,12021200.0,-0.7775419143502353,2,0.7775419143502353,True,0
19,PET필름(2차재심),392062,중국,이스라엘,대한민국,2016.01,0.1428571428571428,-0.6,-0.8285714285714287,-0.1428571428571428,-0.8285714285714287,2,0.8285714285714287,593209.028,6451302.9520000005,-0.7775419143502353,0,0.7775419143502353,False,2
44,이음매없는동관,7411,중국,폴란드,대한민국,2023.03,0.0857142857142857,-0.0285714285714285,-0.5428571428571429,0.7714285714285715,-0.5428571428571429,2,0.5428571428571429,363735.54,3556339.056,-0.7775419143502353,1,0.7775419143502353,False,1
50,합판,4412,중국,스웨덴,대한민국,2024.07,0.2,-0.2898855178262242,-0.5161002296110789,-0.4394802124588286,-0.5161002296110789,2,0.5161002296110789,7677861.0,43458274.0,-0.7775419143502353,1,0.7775419143502353,False,1
2,크라프트지(1차재심),4804,중국,스페인,대한민국,2012.04,-0.4638168285219587,0.4058397249567139,0.5296408977028497,-0.3086066999241839,-0.4638168285219587,0,0.4638168285219587,433118.0,4055407.0,-0.7775419143502353,2,0.7775419143502353,False,2
37,스테인리스스틸바,7222,일본,덴마크,대한민국,2021.01,-0.3718678720805473,-0.3042555317022659,0.3927922024247863,-0.3927922024247863,-0.3927922024247863,3,0.3927922024247863,3099.0,3499505.0,-0.7775419143502353,1,0.7775419143502353,False,2
19,PET필름(2차재심),392062,중국,필리핀,대한민국,2016.01,0.942857142857143,-0.2571428571428572,-0.0285714285714285,0.2571428571428572,-0.2571428571428572,1,0.2571428571428572,8958306.968,6451302.9520000005,-0.7775419143502353,3,0.7775419143502353,False,2
9,OPP필름,392020,인도네시아,호주,대한민국,2013.12,-0.2,0.8285714285714287,0.5428571428571429,0.3142857142857143,-0.2,0,0.2,3451293.0,1748528.0,-0.7775419143502353,2,0.7775419143502353,False,2
51,합판,4412,말레이시아,독일,대한민국,2024.07,,0.6546536707079772,-0.1309307341415954,-0.1690308509457033,-0.1690308509457033,3,0.1690308509457033,79202.78,6071785.3440000005,-0.7775419143502353,2,0.7775419143502353,False,1
0,초산에틸(1차재심),291531,중국,스페인,대한민국,2012.03,0.1690308509457033,0.6546536707079772,,,0.1690308509457033,0,0.0,2140.0,43930648.0,-0.7775419143502353,0,0.7775419143502353,True,0
13,공기압 전송용 밸브,848120,일본,말레이시아,대한민국,2015.08,0.2571428571428572,0.4285714285714286,0.3714285714285715,0.3714285714285715,0.2571428571428572,0,0.0,101915.0,876860.0,-0.7775419143502353,1,0.7775419143502353,False,1
24,옵셋인쇄판,370130,중국,스페인,대한민국,2017.09,1.0,0.7714285714285715,0.7714285714285715,0.2,0.2,3,0.0,2064149.952,6530423.282,-0.7775419143502353,3,0.7775419143502353,True,0
0,초산에틸(1차재심),291531,중국,영국,대한민국,2012.03,-0.0294244943168249,-0.6179143806533246,0.3946648814672956,-0.1690308509457033,-0.6179143806533246,1,0.6179143806533246,1370.0,43930648.0,-0.7715167498104596,1,0.7715167498104596,True,0
6,스테인레스스틸바(2차재심),7222,일본,싱가포르,대한민국,2013.11,0.7142857142857143,-0.4285714285714286,0.0857142857142857,-0.7714285714285715,-0.7714285714285715,3,0.7714285714285715,1888930.0,3150301.0,-0.7714285714285715,0,0.7714285714285715,False,3
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,독일,대한민국,2013.12,-0.1428571428571428,0.6571428571428573,-0.3714285714285715,0.1428571428571428,-0.3714285714285715,2,0.3714285714285715,4398018.81,37201925.41,-0.7714285714285715,1,0.7714285714285715,False,1
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,베트남,대한민국,2013.12,0.2571428571428572,0.7142857142857143,-0.3142857142857143,-0.0285714285714285,-0.3142857142857143,2,0.3142857142857143,10267946.619999995,37201925.41,-0.7714285714285715,2,0.7714285714285715,True,0
4,알루미늄 보틀캔,761290,일본,프랑스,대한민국,2013.01,-0.1309307341415954,,,,-0.1309307341415954,0,0.1309307341415954,92.0,274153.0,-0.7714285714285715,3,0.7714285714285715,False,3
1,PET필름(1차재심),392062,인도,미국,대한민국,2012.05,0.8857142857142858,0.5428571428571429,-0.0857142857142857,0.4285714285714286,-0.0857142857142857,2,0.0857142857142857,5271281.0,483508.0,-0.7714285714285715,3,0.7714285714285715,False,1
2,크라프트지(1차재심),4804,중국,일본,대한민국,2012.04,0.8857142857142858,-0.0285714285714285,0.1739313106957345,0.0910765111078374,-0.0285714285714285,1,0.0285714285714285,743214.0,4055407.0,-0.7714285714285715,3,0.7714285714285715,False,2
2,크라프트지(1차재심),4804,중국,폴란드,대한민국,2012.04,0.1428571428571428,0.0857142857142857,0.3478626213914691,0.0910765111078374,0.0857142857142857,1,0.0,2215703.0,4055407.0,-0.7714285714285715,2,0.7714285714285715,False,1
