pair_id,사건번호,품목,hs_code,규제국,중간국,수입국,reporter_code,periods,flow_code,isr_min,isr_best_lag,isr_risk,flow_type,partner_code,partner_country
58,35,합판,4412,중국,미국,대한민국,156,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,842,미국
58,35,합판,4412,중국,미국,대한민국,156,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
59,37,스테인리스스틸바,7222,인도,독일,대한민국,699,"202101,202102,202103,202104,202105,202106,202107,202108,202109",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_intermediary,276,독일
59,37,스테인리스스틸바,7222,인도,독일,대한민국,699,"202101,202102,202103,202104,202105,202106,202107,202108,202109",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_importer,410,대한민국
60,37,스테인리스스틸바,7222,인도,슬로베니아,대한민국,699,"202101,202102,202103,202104,202105,202106,202107,202108,202109",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_intermediary,705,슬로베니아
60,37,스테인리스스틸바,7222,인도,슬로베니아,대한민국,699,"202101,202102,202103,202104,202105,202106,202107,202108,202109",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_importer,410,대한민국
61,37,스테인리스스틸바,7222,일본,대만,대한민국,392,"202101,202102,202103,202104,202105,202106,202107,202108,202109",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_intermediary,158,대만
61,37,스테인리스스틸바,7222,일본,대만,대한민국,392,"202101,202102,202103,202104,202105,202106,202107,202108,202109",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_importer,410,대한민국
62,39,PET필름,392062,대만,필리핀,대한민국,490,"202112,202201,202202,202203,202204,202205,202206,202207,202208",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,608,필리핀
62,39,PET필름,392062,대만,필리핀,대한민국,490,"202112,202201,202202,202203,202204,202205,202206,202207,202208",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
63,39,PET필름,392062,태국,필리핀,대한민국,764,"202112,202201,202202,202203,202204,202205,202206,202207,202208",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,608,필리핀
63,39,PET필름,392062,태국,필리핀,대한민국,764,"202112,202201,202202,202203,202204,202205,202206,202207,202208",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
64,44,이음매없는동관,7411,중국,독일,대한민국,156,"202303,202304,202305,202306,202307,202308,202309,202310,202311",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_intermediary,276,독일
64,44,이음매없는동관,7411,중국,독일,대한민국,156,"202303,202304,202305,202306,202307,202308,202309,202310,202311",X,-0.8857142857142858,3,0.8857142857142858,regulated_to_importer,410,대한민국
65,48,도공(coated) 인쇄용지,4810,일본,뉴질랜드,대한민국,392,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_intermediary,554,뉴질랜드
65,48,도공(coated) 인쇄용지,4810,일본,뉴질랜드,대한민국,392,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.8857142857142858,0,0.8857142857142858,regulated_to_importer,410,대한민국
66,48,도공(coated) 인쇄용지,4810,핀란드,오스트리아,대한민국,246,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_intermediary,40,오스트리아
66,48,도공(coated) 인쇄용지,4810,핀란드,오스트리아,대한민국,246,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.8857142857142858,1,0.8857142857142858,regulated_to_importer,410,대한민국
67,48,도공(coated) 인쇄용지,4810,일본,태국,대한민국,392,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.8827348295047495,3,0.8827348295047495,regulated_to_intermediary,764,태국
67,48,도공(coated) 인쇄용지,4810,일본,태국,대한민국,392,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-0.8827348295047495,3,0.8827348295047495,regulated_to_importer,410,대한민국
68,40,플로트판유리,7005,중국,라트비아,대한민국,156,"202204,202205,202206,202207,202208,202209,202210,202211,202212",X,-0.8804062740424288,3,0.8804062740424288,regulated_to_intermediary,428,라트비아
68,40,플로트판유리,7005,중국,라트비아,대한민국,156,"202204,202205,202206,202207,202208,202209,202210,202211,202212",X,-0.8804062740424288,3,0.8804062740424288,regulated_to_importer,410,대한민국
69,52,합판,4412,베트남,스페인,대한민국,704,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.8804062740424288,2,0.8804062740424288,regulated_to_intermediary,724,스페인
69,52,합판,4412,베트남,스페인,대한민국,704,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-0.8804062740424288,2,0.8804062740424288,regulated_to_importer,410,대한민국
