pair_id,사건번호,품목,hs_code,년월,규제국,중간국,수입국,flow_type,수출량,수출총달러,isr_min,isr_best_lag,isr_risk
9,4,알루미늄 보틀캔,761290,2013.06,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.07,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.08,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.09,일본,스위스,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.01,일본,스위스,대한민국,regulated_to_importer,30518.0,280108.384,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.02,일본,스위스,대한민국,regulated_to_importer,0.0,0.0,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.03,일본,스위스,대한민국,regulated_to_importer,30240.0,247313.1,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.04,일본,스위스,대한민국,regulated_to_importer,30682.0,259922.748,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.05,일본,스위스,대한민국,regulated_to_importer,61158.0,484648.177,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.06,일본,스위스,대한민국,regulated_to_importer,121555.0,993855.39,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.07,일본,스위스,대한민국,regulated_to_importer,66500.0,587174.275,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.08,일본,스위스,대한민국,regulated_to_importer,81906.0,671251.074,-0.942857142857143,3,0.942857142857143
9,4,알루미늄 보틀캔,761290,2013.09,일본,스위스,대한민국,regulated_to_importer,685.0,28234.619,-0.942857142857143,3,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2013.11,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2013.12,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.01,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.02,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.03,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.04,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.05,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.06,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.07,인도,대만,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2013.11,인도,대만,대한민국,regulated_to_importer,1068170.0,3021199.16,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2013.12,인도,대만,대한민국,regulated_to_importer,974000.0,2859416.067,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.01,인도,대만,대한민국,regulated_to_importer,878238.0,2578523.298,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.02,인도,대만,대한민국,regulated_to_importer,1118777.0,2995522.484,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.03,인도,대만,대한민국,regulated_to_importer,911345.0,2637623.065,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.04,인도,대만,대한민국,regulated_to_importer,992100.0,2670061.37,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.05,인도,대만,대한민국,regulated_to_importer,881000.0,2491398.895,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.06,인도,대만,대한민국,regulated_to_importer,764495.0,2093169.253,-0.942857142857143,1,0.942857142857143
10,6,스테인레스스틸바(2차재심),7222,2014.07,인도,대만,대한민국,regulated_to_importer,1710268.0,5208105.098,-0.942857142857143,1,0.942857142857143
11,6,스테인레스스틸바(2차재심),7222,2013.11,인도,스웨덴,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
11,6,스테인레스스틸바(2차재심),7222,2013.12,인도,스웨덴,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
