request_key,status,rows,error
"123|regulated_to_importer|392|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"124|regulated_to_intermediary|156|40|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"124|regulated_to_importer|156|410|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"125|regulated_to_intermediary|490|724|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"125|regulated_to_importer|490|410|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"126|regulated_to_intermediary|156|757|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"126|regulated_to_importer|156|410|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"127|regulated_to_intermediary|156|124|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"127|regulated_to_importer|156|410|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"128|regulated_to_intermediary|360|392|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,9,
"128|regulated_to_importer|360|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,9,
"129|regulated_to_intermediary|764|251|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,2,
"129|regulated_to_importer|764|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,9,
"130|regulated_to_intermediary|156|360|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"130|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"131|regulated_to_intermediary|156|360|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"131|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"132|regulated_to_intermediary|156|360|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
