사건번호,품목,hs_code,규제국,후보국,분석시작월,sr_min,sr_best_lag,sr_risk
10,합판(1차재심),4412,말레이시아,벨기에,2014.09,-0.7589709258986453,2,0.7589709258986453
26,PET필름,392062,대만,이스라엘,2018.04,-0.7589709258986453,0,0.7589709258986453
29,초산에틸(3차재심),291531,중국,프랑스,2019.07,-0.7589709258986453,3,0.7589709258986453
32,PET필름(3차재심),392062,인도,싱가포르,2019.09,-0.7589709258986453,3,0.7589709258986453
32,PET필름(3차재심),392062,중국,홍콩,2019.09,-0.7589709258986453,2,0.7589709258986453
34,합판,4412,말레이시아,슬로바키아,2020.11,-0.7589709258986453,2,0.7589709258986453
36,합판,4412,베트남,노르웨이,2020.11,-0.7589709258986453,2,0.7589709258986453
48,도공(coated) 인쇄용지,4810,일본,스페인,2024.03,-0.7589709258986453,0,0.7589709258986453
56,석유수지,391110,중국,프랑스,2025.08,-0.7589709258986453,2,0.7589709258986453
1,PET필름(1차재심),392062,인도,말레이시아,2012.05,-0.753702346348183,3,0.753702346348183
2,크라프트지(1차재심),4804,캐나다,체코공화국,2012.04,-0.753702346348183,1,0.753702346348183
17,초산에틸(2차재심),291531,일본,남아프리카공화국,2015.11,-0.753702346348183,1,0.753702346348183
19,PET필름(2차재심),392062,인도,싱가포르,2016.01,-0.753702346348183,2,0.753702346348183
26,PET필름,392062,대만,프랑스,2018.04,-0.753702346348183,3,0.753702346348183
29,초산에틸(3차재심),291531,일본,미국,2019.07,-0.753702346348183,3,0.753702346348183
46,수산화알루미늄,281830,호주,독일,2023.04,-0.753702346348183,1,0.753702346348183
54,OPP필름,392020,중국,프랑스,2025.04,-0.753702346348183,0,0.753702346348183
3,폴리에스터 장섬유 부분연신사(1차재심),540246,대만,인도,2012.07,-0.750366479376867,1,0.750366479376867
19,PET필름(2차재심),392062,인도,벨기에,2016.01,-0.7356123579206245,1,0.7356123579206245
6,스테인레스스틸바(2차재심),7222,스페인,미국,2013.11,-0.7247137945655605,0,0.7247137945655605
6,스테인레스스틸바(2차재심),7222,스페인,싱가포르,2013.11,-0.7247137945655605,1,0.7247137945655605
9,OPP필름,392020,태국,이탈리아,2013.12,-0.7247137945655605,0,0.7247137945655605
37,스테인리스스틸바,7222,인도,네덜란드,2021.01,-0.7247137945655605,1,0.7247137945655605
54,OPP필름,392020,중국,영국,2025.04,-0.7247137945655605,2,0.7247137945655605
2,크라프트지(1차재심),4804,미국,태국,2012.04,-0.7142857142857143,0,0.7142857142857143
