사건번호,국가,품목,hs_code,년월,수입량,수입총달러,단가,관세부과범위,부과시작일,부과종료일,규제국목록,규제국여부
0,프랑스,초산에틸(1차재심),291531,2012.08,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.09,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.10,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.11,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2012.12,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2013.01,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,프랑스,초산에틸(1차재심),291531,2013.02,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
1,네덜란드,PET필름(1차재심),392062,2012.05,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2012.06,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2012.07,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2012.08,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2012.09,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2012.10,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2012.11,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2012.12,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2013.01,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2013.02,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2013.03,0.0,0.0,,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,네덜란드,PET필름(1차재심),392062,2013.04,505.0,8791.0,17.407920792079207,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.05,218491.0,491403.0,2.2490766210049844,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.06,421818.0,905082.0,2.1456694593402843,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.07,332788.0,687332.0,2.0653749534238015,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.08,381426.0,836006.0,2.191790806080341,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.09,455502.0,921147.0,2.022267739768431,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.10,468734.0,963044.0,2.0545639957843895,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.11,450271.0,945915.0,2.1007682040371245,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2012.12,263605.0,612964.0,2.3253124940725707,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2013.01,389012.0,808800.0,2.079113240722651,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2013.02,177834.0,403091.0,2.2666700405996605,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2013.03,453714.0,1023987.0,2.2568997209695976,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,대만,PET필름(1차재심),392062,2013.04,309612.0,677324.0,2.1876542252884255,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.05,1838.0,16644.0,9.055495103373232,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.06,4551.0,35045.0,7.700505383432213,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.07,5190.0,43367.0,8.35587668593449,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.08,24915.0,47631.0,1.9117399157134256,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.09,1605.0,21960.0,13.682242990654206,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.10,4292.0,27365.0,6.375815470643057,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.11,8036.0,126250.0,15.710552513688402,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
1,독일,PET필름(1차재심),392062,2012.12,36.0,1128.0,31.333333333333332,5.87~25.32,2012-05-25,2015-05-24,"중국,인도",False
